炦	buan̍	
癹	buan̍	
𥎱	bren̍	
𧺡	buan̍	
菝	bren̍	
菝	buan̍	
𧺺	buan̍	
軷	bad̀	
軷	buan̍	
跋	buan̍	
䤢	pren̍	
魃	buan̍	
颰	buan̍	
颰	pyan̍	
䮂	buan̍	
鼥	buan̍	
把	prá	
𢃳	ʣȷeū	
靶	prà	
𢑦	ʣȷeū	
弝	prà	
爸	bá	
爸	buá	1̄%
爸	prà	1̄%
𥝧	brà	
垻	prà	
𦫙	brà	
䇑	brá	
𧟶	prà	
罷	bıē	1̄%
罷	bıé	1̄%
罷	bré	
鮁	puan̍	
覇	prà	
矲	bré	
𩹏	brà	
霸	prà	
壩	prà	
灞	prà	
欛	prà	
吧	prxā	2%
吧	prā	
掰	praı̄	
掰	preŋ̍	
䪹	pxıı̄	
白	braŋ̍	
㿟	ceú	
百	praŋ̍	
佰	mraŋ̍	
佰	praŋ̍	
柏	praŋ̍	
栢	praŋ̍	
捭	pré	
擺	pré	
襬	pxıè	
襬	pıē	
庍	xıoǹ	
庍	prè	
拜	praı̀	
䢙	brad̀	
敗	brad̀	
敗	prad̀	
稗	brè	
𦩋	braı̀	
粺	brè	
㠔	prè	
𢷎	praı̀	
㔥	bré	
贁	brad̀	
韛	braı̀	
𣡖	braı̀	
扳	prxan̄	2%
扳	pran̄	
𠦒	pȷın̍	
𠦒	puan̄	
攽	pın̄	
班	pran̄	
般	buan̄	5%
般	pran̄	
般	puan̄	
斑	pran̄	
搬	puan̄	
頒	byon̄	2%
頒	pran̄	
斒	pran̄	
斒	pren̄	
𠔯	pran̄	
瘢	buan̄	
䈲	buan̄	
䈲	puan̄	
𤳖	puan̄	
𩜮	ʦȷxı̀	
癍	pran̄	
辬	pran̄	
阪	brań	
阪	pyań	
坂	pyań	
板	prań	
瓪	prań	
瓪	puań	
昄	brań	
昄	prań	
昄	puań	
版	prań	
覂	pyuŋ́	
舨	prań	
粄	puań	
䉽	puań	
鈑	prań	
䬳	puań	
蝂	prań	
魬	brań	
闆	prxeń	
闆	prań	
半	puaǹ	
𠯘	puaǹ	
伴	buaǹ	3%
伴	buań	
㚘	buań	
坢	pxuań	
拌	buań	
拌	pxuan̄	
姅	pxuaǹ	
姅	puaǹ	
㪵	puaǹ	
湴	bram̀	
絆	puaǹ	
靽	puaǹ	
𩢔	puaǹ	
辦	breǹ	
瓣	breǹ	
扮	byoń	2%
