㓲	pian	3
㓴	gyen	3
㓴	ruan	2
㓵	e	3
㓶	cie	3
㓷	ŋi	3
㓸	gye	1
㓸	ʣrue	1
㓹	ruei	3
㓺	gian	3
㓼	ʦrt	3
㓼	ʦrueŋt	3
㓽	ʦrueŋ	1
㓾	ʦr	1
㔀	lye	3
㔀	cieŋ	1
㔂	lien	1
㔃	gye	1
㔃	pi	3
㔄	suc	3
㔅	xiau	3
㔆	ʣan	3
㔇	pue	0
㔉	ʣru	1
㔊	dan	2
㔋	gian	3
㔋	lan	1
㔋	lan	3
㔌	ʣreu	3
㔍	duet	2
㔍	ʣrat	1
㔎	siet	3
㔎	ŋit	3
㔏	lic	3
㔑	ʦr	3
㔑	dau	3
㔑	ci	3
㔑	sruei	3
㔒	xi	1
㔓	gian	2
㔓	xian	3
㔓	bi	2
㔕	gi	1
㔕	i	3
㔖	gia	0
㔗	fei	3
㔗	sren	0
㔘	ʦru	3
㔘	ci	3
㔙	baŋ	2
㔙	peŋ	1
㔙	xian	0
㔚	ceu	2
㔚	pan	1
㔛	gie	1
㔛	caŋ	2
㔜	ba	1
㔜	bue	1
㔝	liaŋ	2
㔞	cuai	3
㔞	cuaŋ	3
㔞	uaŋ	3
㔠	xet	1
㔠	giat	1
㔢	ʣyet	1
㔣	lei	1
㔣	lei	3
㔤	sren	2
㔥	pi	1
㔦	iaŋ	2
㔧	xye	3
㔨	bei	3
㔩	ep	3
㔪	lu	2
㔭	ʦre	3
㔭	ʦr	1
㔭	i	1
㔮	nue	1
㔮	ʣai	0
㔯	suan	2
㔯	syan	1
㔯	ʣru	2
㔰	xeŋ	1
㔱	y	2
㔱	seu	0
㔱	sau	0
㔳	guei	2
㔳	guen	3
㔳	xuan	1
㔳	gye	1
㔴	ic	3
㔵	xian	3
㔵	xyan	2
㔵	ʦran	1
㔶	gueŋ	3
㔶	fan	1
㔶	fan	3
㔷	leu	3
㔷	xiau	1
㔹	lec	3
㔹	xeuc	1
㔺	sr	3
㔺	mau	3
㔻	pi	0
㔻	tu	1
㔻	ʦran	1
㔼	suen	2
㔽	iau	3
㔽	ieu	2
㔽	gi	3
㔾	gie	1
㔾	suei	3
㔿	ʣeu	3
㕁	cye	3
㕁	i	1
㕂	ien	1
㕄	ʣr	3
㕄	gyeŋ	0
㕅	gia	2
㕅	pau	3
㕆	xu	3
㕇	lap	1
㕇	lap	0
㕇	xiaup	0
㕈	xeu	3
㕈	i	2
㕉	ce	3
㕉	geu	2
㕊	fu	0
㕋	gieŋ	3
㕋	cien	1
㕋	xie	3
㕌	ai	3
㕌	geu	0
㕎	ep	3
㕎	cep	3
㕎	cuenp	2
㕎	xianp	2
㕏	ʦru	1
㕏	ʣruan	2
㕐	xie	2
㕑	ʦru	1
㕒	ŋuei	1
㕒	ŋuei	2
㕒	ŋuei	0
㕕	xuan	3
㕖	su	3
㕗	ieu	3
㕘	ʦan	0
㕙	ʣyen	3
㕙	ruei	3
㕚	ʣrau	2
㕛	xy	3
㕛	ieu	2
㕛	ieu	3
㕜	sr	2
㕞	sruat	0
㕟	cuei	3
㕠	sruaŋ	0
㕡	xec	1
㕡	xec	3
㕡	xuec	3
㕢	gai	3
㕢	xai	3
㕢	gy	3
㕢	luen	2
㕢	neu	2
㕣	ian	2
㕣	ian	3
㕤	cieu	1
㕤	ʣau	2
㕥	i	2
㕦	xua	3
㕧	xi	0
㕨	fan	3
㕩	ʣraŋ	3
㕪	dan	2
㕫	faŋ	2
㕬	sueŋ	3
㕭	au	3
㕭	bi	3
㕮	fu	2
㕮	tiau	3
㕯	net	3
㕰	xec	3
㕱	ieu	1
㕲	xua	1
㕲	ieŋ	1
㕴	ʦren	1
㕵	gue	1
㕵	xuen	1
㕵	lue	2
㕶	n	2
㕶	ŋ	2
㕷	xua	3
㕸	li	3
㕹	fa	1
㕺	xau	1
㕻	teu	3
㕽	s	3
㕾	xiau	2
㕾	ʦreu	1
㕾	bi	3
㖀	le	3
㖀	lue	3
㖁	lien	3
㖂	i	3
㖃	xeu	2
㖃	xeu	3
㖅	syt	3
㖅	tit	1
㖆	cy	1
㖆	cy	2
㖆	yen	1
㖇	er	1
㖏	neit	3
㖐	uei	2
㖐	pai	0
㖑	xie	3
㖒	ti	1
㖓	xueŋ	1
㖔	tuen	2
㖕	bue	3
㖕	nie	3
㖖	nie	3
㖗	ien	1
㖜	xiaŋ	2
㖞	uai	0
㖟	sjeu	3
㖠	ba	3
㖠	nue	3
㖡	ie	3
㖢	gi	1
㖢	ci	1
㖣	teu	3
㖣	gy	1
㖤	xan	1
